id,Gender,Course,Social_Support,Counseling_Service_Use,Family_History,Residence_Type
0,Male,Others,Moderate,No,No,On-Campus
1,Female,Engineering,Low,Yes,No,On-Campus
2,Female,Business,Moderate,Yes,No,On-Campus
3,Male,Computer Science,Moderate,No,No,Off-Campus
4,Male,Business,High,No,No,On-Campus
6,Male,Law,Moderate,No,No,Off-Campus
7,Female,Business,Low,No,Yes,On-Campus
9,Female,Engineering,Low,Yes,Yes,Off-Campus
10,Female,Law,Moderate,Yes,No,Off-Campus
12,Male,Computer Science,Moderate,Yes,No,On-Campus
15,Male,Law,Moderate,No,Yes,Off-Campus
18,Male,Computer Science,Moderate,Yes,No,Off-Campus
20,Male,Business,Low,No,No,On-Campus
23,Female,Computer Science,Low,No,No,On-Campus
27,Female,Computer Science,Moderate,No,Yes,Off-Campus
28,Male,Others,Moderate,No,No,Off-Campus
29,Female,Engineering,Moderate,Yes,Yes,On-Campus
30,Female,Engineering,Moderate,No,No,On-Campus
36,Male,Law,High,Yes,No,Off-Campus
38,Female,Law,Moderate,Yes,No,Off-Campus
41,Female,Law,High,Yes,No,Off-Campus
49,Female,Law,High,No,Yes,On-Campus
53,Female,Computer Science,High,No,No,On-Campus
55,Female,Business,Low,No,No,On-Campus
57,Female,Computer Science,Moderate,No,Yes,Off-Campus
61,Male,Computer Science,High,No,No,Off-Campus
62,Male,Engineering,Low,Yes,Yes,Off-Campus
68,Female,Business,High,No,Yes,Off-Campus
71,Male,Business,Low,No,No,On-Campus
74,Male,Engineering,High,No,No,On-Campus
77,Female,Engineering,Low,Yes,Yes,On-Campus
82,Female,Computer Science,Moderate,No,No,On-Campus
83,Female,Computer Science,Moderate,No,Yes,Off-Campus
84,Female,Law,Low,Yes,No,On-Campus
85,Male,Law,High,Yes,No,On-Campus
86,Female,Engineering,High,No,No,On-Campus
88,Female,Computer Science,High,No,No,Off-Campus
90,Female,Computer Science,Moderate,No,No,On-Campus
93,Male,Business,Moderate,No,Yes,Off-Campus
96,Male,Law,Moderate,No,No,Off-Campus
98,Male,Business,Low,No,No,On-Campus
99,Male,Others,Moderate,No,No,On-Campus
101,Male,Law,Low,No,No,Off-Campus
110,Male,Computer Science,Moderate,No,No,Off-Campus
111,Female,Computer Science,Moderate,Yes,No,On-Campus
112,Female,Business,Low,Yes,No,Off-Campus
116,Female,Engineering,Moderate,No,No,Off-Campus
118,Female,Engineering,High,No,No,On-Campus
119,Male,Computer Science,Moderate,Yes,No,Off-Campus
122,Male,Computer Science,High,Yes,Yes,On-Campus
124,Male,Computer Science,Moderate,Yes,Yes,Off-Campus
126,Male,Computer Science,Moderate,No,No,Off-Campus
133,Male,Computer Science,Moderate,No,Yes,Off-Campus
137,Female,Computer Science,Low,Yes,No,Off-Campus
138,Male,Engineering,Moderate,No,No,On-Campus
140,Female,Law,High,No,Yes,Off-Campus
141,Male,Engineering,Moderate,Yes,Yes,Off-Campus
144,Male,Business,Low,No,Yes,On-Campus
146,Male,Business,Moderate,No,Yes,Off-Campus
147,Female,Engineering,Moderate,No,No,On-Campus
148,Male,Computer Science,High,No,No,On-Campus
150,Male,Computer Science,Low,No,Yes,On-Campus
152,Male,Law,Moderate,No,Yes,Off-Campus
153,Female,Law,Moderate,No,No,Off-Campus
154,Male,Others,Moderate,No,No,On-Campus
160,Female,Engineering,Moderate,Yes,No,On-Campus
169,Male,Business,Low,Yes,No,On-Campus
176,Female,Business,High,Yes,No,Off-Campus
177,Female,Others,Moderate,Yes,No,On-Campus
180,Male,Engineering,Low,No,Yes,Off-Campus
183,Male,Law,Moderate,No,Yes,Off-Campus
184,Male,Computer Science,Moderate,No,No,On-Campus
185,Female,Computer Science,High,No,No,On-Campus
186,Male,Engineering,Moderate,No,No,On-Campus
187,Female,Others,Moderate,Yes,No,On-Campus
188,Female,Law,Moderate,No,No,On-Campus
190,Male,Others,Moderate,Yes,No,Off-Campus
191,Female,Law,High,Yes,Yes,On-Campus
192,Female,Others,High,Yes,Yes,On-Campus
196,Female,Computer Science,Moderate,No,No,On-Campus
201,Female,Law,High,No,No,Off-Campus
203,Male,Computer Science,Moderate,No,No,On-Campus
209,Female,Engineering,High,Yes,Yes,On-Campus
210,Female,Business,High,No,No,Off-Campus
216,Female,Engineering,Moderate,No,No,Off-Campus
218,Male,Law,Moderate,No,No,Off-Campus
219,Male,Computer Science,High,Yes,No,On-Campus
222,Male,Law,High,No,Yes,Off-Campus
223,Male,Computer Science,Low,No,No,Off-Campus
225,Female,Business,High,No,No,Off-Campus
228,Female,Engineering,Moderate,Yes,No,Off-Campus
230,Female,Law,Moderate,No,Yes,On-Campus
233,Male,Law,Moderate,No,No,Off-Campus
234,Female,Business,High,No,No,Off-Campus
236,Male,Law,Low,No,No,On-Campus
237,Female,Law,High,Yes,No,Off-Campus
240,Male,Computer Science,High,Yes,No,On-Campus
241,Female,Others,Low,No,No,Off-Campus
243,Male,Business,Moderate,Yes,No,Off-Campus
244,Female,Business,Moderate,No,Yes,Off-Campus
248,Female,Law,Moderate,Yes,No,Off-Campus
250,Female,Computer Science,Moderate,Yes,Yes,Off-Campus
253,Male,Engineering,High,No,No,On-Campus
254,Female,Computer Science,Low,No,Yes,On-Campus
255,Male,Law,High,Yes,No,On-Campus
257,Female,Business,High,No,No,Off-Campus
258,Male,Law,Moderate,No,No,Off-Campus
261,Female,Others,Moderate,Yes,Yes,On-Campus
262,Female,Engineering,High,No,No,On-Campus
263,Male,Computer Science,Moderate,No,No,On-Campus
270,Female,Computer Science,Moderate,Yes,No,Off-Campus
271,Male,Engineering,Moderate,Yes,Yes,Off-Campus
276,Male,Computer Science,Moderate,Yes,No,On-Campus
279,Female,Engineering,High,No,No,Off-Campus
280,Female,Others,Moderate,No,Yes,On-Campus
282,Male,Business,Moderate,Yes,Yes,On-Campus
283,Male,Business,Moderate,Yes,No,Off-Campus
287,Male,Law,Moderate,Yes,No,Off-Campus
288,Female,Law,Low,No,No,On-Campus
289,Male,Others,Low,Yes,No,Off-Campus
290,Male,Computer Science,High,Yes,Yes,Off-Campus
291,Male,Law,Moderate,No,No,On-Campus
297,Female,Computer Science,Moderate,Yes,Yes,On-Campus
299,Male,Others,High,Yes,Yes,On-Campus
300,Male,Others,Moderate,Yes,No,Off-Campus
301,Female,Others,High,No,No,Off-Campus
304,Male,Engineering,High,No,No,On-Campus
308,Female,Engineering,Moderate,Yes,No,On-Campus
310,Male,Engineering,Moderate,No,Yes,Off-Campus
311,Female,Business,Moderate,No,No,Off-Campus
312,Female,Engineering,Low,No,Yes,Off-Campus
316,Female,Business,Moderate,No,No,On-Campus
321,Female,Engineering,Moderate,No,No,Off-Campus
324,Female,Law,High,No,Yes,On-Campus
326,Male,Computer Science,Moderate,Yes,No,Off-Campus
328,Female,Others,High,No,No,Off-Campus
329,Male,Law,High,Yes,Yes,On-Campus
332,Male,Computer Science,Moderate,Yes,Yes,On-Campus
337,Female,Others,Moderate,Yes,Yes,On-Campus
341,Male,Engineering,Low,No,No,Off-Campus
343,Female,Computer Science,Moderate,Yes,Yes,On-Campus
344,Female,Business,Moderate,Yes,No,Off-Campus
348,Female,Business,Moderate,No,Yes,On-Campus
349,Male,Law,High,Yes,Yes,Off-Campus
352,Female,Business,Moderate,Yes,No,On-Campus
354,Female,Engineering,Moderate,No,No,Off-Campus
359,Male,Computer Science,Low,Yes,Yes,Off-Campus
361,Female,Engineering,Low,Yes,No,Off-Campus
362,Male,Engineering,Moderate,No,No,On-Campus
363,Male,Engineering,Moderate,No,No,Off-Campus
364,Female,Computer Science,Low,Yes,No,On-Campus
366,Male,Law,Moderate,No,No,On-Campus
367,Female,Business,Moderate,No,No,On-Campus
